id,pert,gene,label
Bcl6_Gla,Bcl6,Gla,none
Yy1_Bnip3,Yy1,Bnip3,none
Tardbp_Mmp14,Tardbp,Mmp14,down
Dohh_2300009A05Rik,Dohh,2300009A05Rik,none
Gnb2_Ccl2,Gnb2,Ccl2,down
Il10ra_Gpnmb,Il10ra,Gpnmb,none
Hdac3_Mphosph10,Hdac3,Mphosph10,none
Dpm3_Il1a,Dpm3,Il1a,none
Hyou1_Chchd10,Hyou1,Chchd10,none
Eny2_BC049762,Eny2,BC049762,none
Snrnp27_Morrbid,Snrnp27,Morrbid,none
Mtor_Cotl1,Mtor,Cotl1,down
Egln1_Tpi1,Egln1,Tpi1,up
Copz1_Zfat,Copz1,Zfat,none
Ss18_Aif1,Ss18,Aif1,down
Traf3_Ifit2,Traf3,Ifit2,none
Cog8_Fam162a,Cog8,Fam162a,none
Rbbp6_Ifih1,Rbbp6,Ifih1,none
Meaf6_Epb41l4aos,Meaf6,Epb41l4aos,none
Uxt_Xlr,Uxt,Xlr,none
Cog8_Odc1,Cog8,Odc1,up
Wdr1_Mettl25,Wdr1,Mettl25,none
Gins4_Pf4,Gins4,Pf4,none
Kat8_Creg1,Kat8,Creg1,up
Vps18_Cd63,Vps18,Cd63,up
Zbtb17_Il1a,Zbtb17,Il1a,none
Fth1_Ftl1,Fth1,Ftl1,up
Srsf7_Smox,Srsf7,Smox,up
Stag2_Col18a1,Stag2,Col18a1,down
Rab7_Tnfrsf22,Rab7,Tnfrsf22,none
Jak1_Ifi205,Jak1,Ifi205,down
Actr10_Il7r,Actr10,Il7r,up
Gins3_Ms4a6b,Gins3,Ms4a6b,down
Rpl4_Ifih1,Rpl4,Ifih1,up
Dcaf13_Prr13,Dcaf13,Prr13,none
Cbfb_Cd81,Cbfb,Cd81,none
Hspa4_Mmp9,Hspa4,Mmp9,none
Nrbp1_C1qb,Nrbp1,C1qb,none
Cwc15_Gm35188,Cwc15,Gm35188,none
Ndc80_Icam1,Ndc80,Icam1,none
Dad1_Pmaip1,Dad1,Pmaip1,none
Spop_Fcgr2b,Spop,Fcgr2b,none
Klf6_Hspa5,Klf6,Hspa5,none
Rb1_Fcgr2b,Rb1,Fcgr2b,none
Bop1_Slc20a2,Bop1,Slc20a2,none
Ddx6_Ddx60,Ddx6,Ddx60,none
Rbm15_Tgtp2,Rbm15,Tgtp2,down
Spout1_Sqstm1,Spout1,Sqstm1,none
Cnot1_Rsad2,Cnot1,Rsad2,up
Ifnar1_Rep15,Ifnar1,Rep15,none
Cwc25_Rabac1,Cwc25,Rabac1,up
Cct3_Iqgap2,Cct3,Iqgap2,none
Klf6_Stab1,Klf6,Stab1,none
Fermt3_Ifitm2,Fermt3,Ifitm2,none
Abi1_Gm47507,Abi1,Gm47507,up
Ptpn2_S100a10,Ptpn2,S100a10,none
Emc3_Sat1,Emc3,Sat1,none
Tpr_Dnah12,Tpr,Dnah12,none
Trrap_Gm11613,Trrap,Gm11613,up
Sbno2_Tmc8,Sbno2,Tmc8,none
Tut1_Gphn,Tut1,Gphn,none
Gins2_Zfc3h1,Gins2,Zfc3h1,none
Stk11_Mtdh,Stk11,Mtdh,down
Mettl3_B3gnt8,Mettl3,B3gnt8,up
Rcl1_Calhm6,Rcl1,Calhm6,none
Mbd2_Acod1,Mbd2,Acod1,none
Kat5_Gbe1,Kat5,Gbe1,up
Nelfcd_Mogs,Nelfcd,Mogs,none
Rps3_Marcks,Rps3,Marcks,up
Nelfa_H2az1,Nelfa,H2az1,none
Ube2m_Rnf128,Ube2m,Rnf128,up
Tnfrsf1a_Lipa,Tnfrsf1a,Lipa,none
Eif1ad_Gm41609,Eif1ad,Gm41609,none
Ttc1_Ahnak,Ttc1,Ahnak,none
Eif4a1_Cd36,Eif4a1,Cd36,up
Tpt1_Nckap1,Tpt1,Nckap1,none
Cog8_Cotl1,Cog8,Cotl1,down
Ash2l_Mycbp,Ash2l,Mycbp,none
Yy1_C1qb,Yy1,C1qb,down
Slc7a6os_Lrfn4,Slc7a6os,Lrfn4,none
Suz12_Prdx5,Suz12,Prdx5,none
Rheb_Ncapg,Rheb,Ncapg,none
Ly96_Ifitm2,Ly96,Ifitm2,down
Qars_Il18bp,Qars,Il18bp,none
Vps18_Sqstm1,Vps18,Sqstm1,up
Srsf1_Gm14461,Srsf1,Gm14461,none
Tbc1d10b_Eif5,Tbc1d10b,Eif5,none
Snapc3_Cpe,Snapc3,Cpe,none
2310011J03Rik_Snhg4,2310011J03Rik,Snhg4,none
Sephs1_Stmn1,Sephs1,Stmn1,none
Jtb_Ran,Jtb,Ran,none
Dnajc8_Nr2c1,Dnajc8,Nr2c1,none
Uvrag_Nek10,Uvrag,Nek10,none
Pgm3_Manf,Pgm3,Manf,up
Leng1_Anxa1,Leng1,Anxa1,none
Pias1_Bcl2a1d,Pias1,Bcl2a1d,none
Pfdn2_Creg1,Pfdn2,Creg1,up
Wdr36_S100a6,Wdr36,S100a6,none
Gins2_Tmem243,Gins2,Tmem243,up
Ing3_Ms4a4c,Ing3,Ms4a4c,none
Ptpn11_Gm31904,Ptpn11,Gm31904,none
Sec63_Dnajb9,Sec63,Dnajb9,up
Zfp36_Ifrd1,Zfp36,Ifrd1,down
Dnajc8_Ctsh,Dnajc8,Ctsh,none
Runx1_Ddx56,Runx1,Ddx56,none
Rbm15_Ncoa4,Rbm15,Ncoa4,up
Vps33a_Nop58,Vps33a,Nop58,none
Rnf40_Tasor,Rnf40,Tasor,none
Yeats4_Vat1,Yeats4,Vat1,none
Pfdn6_Slc25a26,Pfdn6,Slc25a26,none
Leng1_Id3,Leng1,Id3,none
Lamtor4_Cd68,Lamtor4,Cd68,up
Mbd2_Lmna,Mbd2,Lmna,up
Tardbp_Polr2g,Tardbp,Polr2g,up
Ddost_Wnt9a,Ddost,Wnt9a,none
Atp6v1a_Selenow,Atp6v1a,Selenow,down
Sbno2_Hacd4,Sbno2,Hacd4,none
Ric1_Cd72,Ric1,Cd72,down
Scap_A930023M06Rik,Scap,A930023M06Rik,none
Strap_Ctsl,Strap,Ctsl,none
Cdc123_Akr1a1,Cdc123,Akr1a1,none
Acin1_Plekha2,Acin1,Plekha2,none
Ap3b1_Tubb6,Ap3b1,Tubb6,none
Yrdc_Krtcap2,Yrdc,Krtcap2,up
Nckap1l_Ddx10,Nckap1l,Ddx10,down
Top3a_Ftl1,Top3a,Ftl1,none
Rel_Rhoc,Rel,Rhoc,none
Ptpn11_C1qb,Ptpn11,C1qb,none
Otud5_Il1rn,Otud5,Il1rn,down
Dhx15_Ftl1,Dhx15,Ftl1,up
Dad1_Calr,Dad1,Calr,up
Vps18_Prdx1,Vps18,Prdx1,up
Gpn2_Acod1,Gpn2,Acod1,down
Nob1_Abca1,Nob1,Abca1,up
Sel1l_Cdkl3,Sel1l,Cdkl3,none
Dph3_Odc1,Dph3,Odc1,up
Dnajc8_Cadps,Dnajc8,Cadps,up
Ndc80_H2-Q7,Ndc80,H2-Q7,none
Srcap_Kitl,Srcap,Kitl,up
Csnk1a1_Fcgr4,Csnk1a1,Fcgr4,none
Mcm4_Ppat,Mcm4,Ppat,none
Rptor_Ckb,Rptor,Ckb,down
Gtf2h1_Hmox1,Gtf2h1,Hmox1,down
Arpc3_Spryd7,Arpc3,Spryd7,none
Spc24_Dclre1b,Spc24,Dclre1b,up
Atp6v1b2_Hmox1,Atp6v1b2,Hmox1,none
Otud5_Gm4876,Otud5,Gm4876,none
Gspt1_Mmp12,Gspt1,Mmp12,none
Pfdn6_Gsta3,Pfdn6,Gsta3,none
Med29_Cd9,Med29,Cd9,none
Bap1_Syt11,Bap1,Syt11,none
Mtor_Gapdh,Mtor,Gapdh,down
Arpc2_Zfp462,Arpc2,Zfp462,up
Ube2m_F830208F22Rik,Ube2m,F830208F22Rik,none
Mphosph10_Herpud2,Mphosph10,Herpud2,up
Gspt1_Trib3,Gspt1,Trib3,up
Arid1a_Lpin2,Arid1a,Lpin2,up
Rnf40_Mcrip2,Rnf40,Mcrip2,none
Prdm1_Eif5,Prdm1,Eif5,none
Nelfb_Ftl1-ps1,Nelfb,Ftl1-ps1,up
Eny2_Nme2,Eny2,Nme2,up
Eif5_Sqstm1,Eif5,Sqstm1,up
Qars_S100a10,Qars,S100a10,none
Bap1_Rp2,Bap1,Rp2,none
Dohh_Gm56599,Dohh,Gm56599,none
Mapkapk2_Mapkapk2,Mapkapk2,Mapkapk2,down
Med20_Osbpl3,Med20,Osbpl3,none
Rab7_Cd69,Rab7,Cd69,up
Irf9_Norad,Irf9,Norad,none
Pten_Rdx,Pten,Rdx,none
Paf1_Parp2,Paf1,Parp2,up
Ddx18_Ckb,Ddx18,Ckb,down
Junb_Hsp90ab1,Junb,Hsp90ab1,none
Rbm14_Eif5,Rbm14,Eif5,none
Meaf6_Lhfpl2,Meaf6,Lhfpl2,none
Arih1_Clip1,Arih1,Clip1,down
Atg9a_Gsta3,Atg9a,Gsta3,up
Smc3_Rsl24d1,Smc3,Rsl24d1,none
Vps33a_Gclm,Vps33a,Gclm,up
Tcp1_Mmp9,Tcp1,Mmp9,up
Bcl6_Ftl1,Bcl6,Ftl1,none
Psmd13_Cd36,Psmd13,Cd36,none
Pfdn2_Ifih1,Pfdn2,Ifih1,none
Rpap2_Cd180,Rpap2,Cd180,none
Lamtor2_Vat1,Lamtor2,Vat1,up
Cwc15_Cd300c2,Cwc15,Cd300c2,down
Kars_Cd69,Kars,Cd69,none
Gpn2_Slc3a2,Gpn2,Slc3a2,none
Rb1cc1_Cxcl2,Rb1cc1,Cxcl2,up
Axin1_Il1b,Axin1,Il1b,down
Eif4a1_Smox,Eif4a1,Smox,none
Trappc8_Sqstm1,Trappc8,Sqstm1,up
Gtf2a2_Il1rn,Gtf2a2,Il1rn,down
Sephs1_Serp1,Sephs1,Serp1,none
Sptlc1_Vcan,Sptlc1,Vcan,up
Copz1_Rabac1,Copz1,Rabac1,up
Mms22l_AA467197,Mms22l,AA467197,none
Arid1a_Frmd4b,Arid1a,Frmd4b,up
Rc3h1_Cotl1,Rc3h1,Cotl1,none
Ric1_Mir22hg,Ric1,Mir22hg,none
Hira_Cd300a,Hira,Cd300a,up
Rtf1_Arl6ip1,Rtf1,Arl6ip1,up
Wdr5_Gbp8,Wdr5,Gbp8,none
Syvn1_Polr2a,Syvn1,Polr2a,none
Scap_Lhfpl2,Scap,Lhfpl2,up
Ube2m_Akr1a1,Ube2m,Akr1a1,up
Nfyc_Ccrl2,Nfyc,Ccrl2,none
Cmtr1_Crip1,Cmtr1,Crip1,none
Mideas_Bcl2a1d,Mideas,Bcl2a1d,down
Hspa4_Cotl1,Hspa4,Cotl1,none
Ppp2r2a_AA467197,Ppp2r2a,AA467197,down
Zfp36_Traf1,Zfp36,Traf1,down
Cnot1_Clec4e,Cnot1,Clec4e,down
Ylpm1_Gm26826,Ylpm1,Gm26826,none
Atp6v0e_Lipa,Atp6v0e,Lipa,up
Smc3_AA467197,Smc3,AA467197,down
Myd88_Sqstm1,Myd88,Sqstm1,none
Tpt1_Nucb2,Tpt1,Nucb2,none
Ttc1_Pbxip1,Ttc1,Pbxip1,none
Leng1_Acer3,Leng1,Acer3,none
Trappc8_Gbp2,Trappc8,Gbp2,none
Uvrag_Il15,Uvrag,Il15,none
Leo1_Gpnmb,Leo1,Gpnmb,none
Hyou1_Manf,Hyou1,Manf,up
Zfp36_Nabp1,Zfp36,Nabp1,none
Gins2_Uchl1,Gins2,Uchl1,none
Prpf19_Arf2,Prpf19,Arf2,none
Eftud2_A730090N16Rik,Eftud2,A730090N16Rik,none
Atp6v1e1_Gm20682,Atp6v1e1,Gm20682,none
Trappc8_Rabac1,Trappc8,Rabac1,up
Abi1_Ctsl,Abi1,Ctsl,up
Atf4_Ifih1,Atf4,Ifih1,none
Nolc1_Utrn,Nolc1,Utrn,none
Arpc3_Acod1,Arpc3,Acod1,none
Brd2_Fbxo11,Brd2,Fbxo11,none
Arpc3_H2-M2,Arpc3,H2-M2,up
Ncbp1_Rbmx2,Ncbp1,Rbmx2,none
Actr6_Cxcl10,Actr6,Cxcl10,up
Fbxo11_Zfand5,Fbxo11,Zfand5,up
Ptpn11_Ccl2,Ptpn11,Ccl2,down
Suz12_Cd69,Suz12,Cd69,none
Nckap1l_Cotl1,Nckap1l,Cotl1,down
Nfkbiz_Stap1,Nfkbiz,Stap1,down
Wnk1_Cacna1d,Wnk1,Cacna1d,up
Ankrd11_Mgst1,Ankrd11,Mgst1,none
Msto1_Gpnmb,Msto1,Gpnmb,none
Snx14_Timp2,Snx14,Timp2,up
Uxt_Mmp12,Uxt,Mmp12,none
Zfp710_Tmem51,Zfp710,Tmem51,up
Mcm4_Creg1,Mcm4,Creg1,none
Wnk1_Oasl1,Wnk1,Oasl1,none
Traf2_Sec11c,Traf2,Sec11c,up
Tgif1_D6Wsu163e,Tgif1,D6Wsu163e,up
Sel1l_Dnajc3,Sel1l,Dnajc3,up
Tyrobp_Gm17749,Tyrobp,Gm17749,none
Junb_Rftn1,Junb,Rftn1,down
Ncor2_Mmp12,Ncor2,Mmp12,up
Cct2_Pmepa1,Cct2,Pmepa1,none
Ehmt2_Plekha3,Ehmt2,Plekha3,none
Cog8_Creg1,Cog8,Creg1,none
Uxt_Irgm1,Uxt,Irgm1,none
Ogdh_Gapdh,Ogdh,Gapdh,up
Top3a_Rab3d,Top3a,Rab3d,none
Wdr3_Mir22hg,Wdr3,Mir22hg,up
Atp6v1e1_Gdf15,Atp6v1e1,Gdf15,up
Cd14_Cd14,Cd14,Cd14,down
Ndc80_Npy,Ndc80,Npy,none
Virma_Plpp3,Virma,Plpp3,up
Msto1_Slc16a3,Msto1,Slc16a3,down
Wdr48_Aig1,Wdr48,Aig1,none
Eif4a1_H2-M2,Eif4a1,H2-M2,none
Yeats4_Cacna1d,Yeats4,Cacna1d,up
Cct5_Snhg15,Cct5,Snhg15,none
Zfp207_1110038B12Rik,Zfp207,1110038B12Rik,up
Bag6_Hmox1,Bag6,Hmox1,none
Mta2_Gm57027,Mta2,Gm57027,none
Ube4b_Sh3yl1,Ube4b,Sh3yl1,none
Tbc1d10b_Igf1,Tbc1d10b,Igf1,none
Wtap_Adap2,Wtap,Adap2,none
Setd2_Lhfpl2,Setd2,Lhfpl2,none
Cnot2_Cdk18,Cnot2,Cdk18,none
Wdr48_A330040F15Rik,Wdr48,A330040F15Rik,up
Kdm1a_Cfp,Kdm1a,Cfp,down
Rpl10_Cd69,Rpl10,Cd69,up
Dpm1_Calr,Dpm1,Calr,up
Rc3h1_Saa3,Rc3h1,Saa3,none
Gosr2_Kcnn4,Gosr2,Kcnn4,none
Pgm3_Creld2,Pgm3,Creld2,up
Prpf38b_Slc25a4,Prpf38b,Slc25a4,none
Trappc8_Dnajc3,Trappc8,Dnajc3,none
Dync1h1_Ccrl2,Dync1h1,Ccrl2,up
Telo2_Ftl1,Telo2,Ftl1,none
Chmp6_Inhba,Chmp6,Inhba,up
Nfyc_Tnfsf9,Nfyc,Tnfsf9,none
Snrnp70_H2-M2,Snrnp70,H2-M2,none
Cnot1_H2-T22,Cnot1,H2-T22,down
Dnajc8_BC005537,Dnajc8,BC005537,none
Meaf6_Ifrd1,Meaf6,Ifrd1,none
Taf5l_Igf1,Taf5l,Igf1,down
Fli1_S100a10,Fli1,S100a10,up
Exosc7_Lgals3,Exosc7,Lgals3,none
Actr2_Calr,Actr2,Calr,none
Fzr1_Clec4e,Fzr1,Clec4e,none
Mtor_Tubb6,Mtor,Tubb6,none
Heatr1_Ifih1,Heatr1,Ifih1,up
Prpf40a_H1f2,Prpf40a,H1f2,up
Becn1_Gpnmb,Becn1,Gpnmb,up
Chd4_H2-Q7,Chd4,H2-Q7,up
Gtf2a2_Saa3,Gtf2a2,Saa3,down
Gins4_Ctsl,Gins4,Ctsl,up
Ncor2_Il1a,Ncor2,Il1a,up
Med29_Tcf7l2,Med29,Tcf7l2,up
Tbc1d10b_Myo1e,Tbc1d10b,Myo1e,none
Gosr2_Slamf9,Gosr2,Slamf9,none
Junb_Rfc3,Junb,Rfc3,none
Nelfa_H3f3b,Nelfa,H3f3b,up
Dpy30_Malt1,Dpy30,Malt1,none
Tcp1_Ddit3,Tcp1,Ddit3,none
Dad1_H2bc21,Dad1,H2bc21,none
Fbxo11_Il1a,Fbxo11,Il1a,down
Rbbp6_Kcnn4,Rbbp6,Kcnn4,up
Ptpn2_Iigp1,Ptpn2,Iigp1,up
Nob1_1110038B12Rik,Nob1,1110038B12Rik,up
Tyk2_Ifi44,Tyk2,Ifi44,down
Wdr5_Vcl,Wdr5,Vcl,up
Tnpo3_Il15,Tnpo3,Il15,none
Toe1_Exoc3,Toe1,Exoc3,none
Cct5_Fcgr2b,Cct5,Fcgr2b,down
Snx14_Ifi44,Snx14,Ifi44,none
Mtor_Picalm,Mtor,Picalm,none
Alg2_Mcm4,Alg2,Mcm4,none
E4f1_Apobec1,E4f1,Apobec1,none
Exoc5_Large1,Exoc5,Large1,none
Rpp21_Atf5,Rpp21,Atf5,up
Cbfb_Ccl9,Cbfb,Ccl9,down
Daxx_Vegfa,Daxx,Vegfa,up
Aip_Ftl1-ps1,Aip,Ftl1-ps1,none
Il10ra_Ifitm2,Il10ra,Ifitm2,down
Gins3_Lmna,Gins3,Lmna,up
Sars_Cyb5r1,Sars,Cyb5r1,up
Atp6ap2_Cfp,Atp6ap2,Cfp,down
Rrp1_Tlr2,Rrp1,Tlr2,up
Ints9_Col18a1,Ints9,Col18a1,none
Wdr5_AA467197,Wdr5,AA467197,down
Gins2_Pofut2,Gins2,Pofut2,none
Chd4_Saa3,Chd4,Saa3,none
Adnp_Glrx,Adnp,Glrx,down
Nelfcd_Calcr,Nelfcd,Calcr,none
Sptssa_Blvrb,Sptssa,Blvrb,down
Lamtor4_Gbp2,Lamtor4,Gbp2,none
Leng1_S100a11,Leng1,S100a11,up
Derl2_Hspa5,Derl2,Hspa5,up
Fli1_Bag5,Fli1,Bag5,none
Med25_Alox5ap,Med25,Alox5ap,none
Nelfcd_Ftl1,Nelfcd,Ftl1,up
Il10rb_Cxcl2,Il10rb,Cxcl2,up
Nrbp1_Npy,Nrbp1,Npy,up
Irf8_2310009B15Rik,Irf8,2310009B15Rik,none
Rptor_Serpinb6b,Rptor,Serpinb6b,none
Ippk_Anxa3,Ippk,Anxa3,down
Taf5l_Gm31005,Taf5l,Gm31005,none
Prpf38b_Ahnak,Prpf38b,Ahnak,up
Ticam2_Ckb,Ticam2,Ckb,none
Nop16_Cd69,Nop16,Cd69,up
Txnl4a_Inhba,Txnl4a,Inhba,none
Atxn7l3_Fcgr2b,Atxn7l3,Fcgr2b,none
Sbno2_Myo1e,Sbno2,Myo1e,none
Ptpa_Fpr2,Ptpa,Fpr2,down
Cct4_Tuba1c,Cct4,Tuba1c,up
Pfdn2_Fam111a,Pfdn2,Fam111a,up
Pdcd10_Ccl9,Pdcd10,Ccl9,down
Wdr75_Cd300e,Wdr75,Cd300e,none
Arpc2_Actb,Arpc2,Actb,down
Ticam2_Oasl1,Ticam2,Oasl1,down
Cct7_Prdx1,Cct7,Prdx1,none
Daxx_Ckb,Daxx,Ckb,none
Rpl35_Cmpk2,Rpl35,Cmpk2,up
Rc3h1_Dnmt3l,Rc3h1,Dnmt3l,none
Rela_Saa3,Rela,Saa3,down
Hdac3_B4galt7,Hdac3,B4galt7,none
Atxn7l3_Akr1a1,Atxn7l3,Akr1a1,none
Sars_Ly9,Sars,Ly9,none
Chmp6_Trmt10c,Chmp6,Trmt10c,none
Suz12_Ribc1,Suz12,Ribc1,none
Snapc3_Rnf149,Snapc3,Rnf149,none
Hira_Ly6a,Hira,Ly6a,up
Psmg4_Eif5,Psmg4,Eif5,none
Ptpn2_Sqstm1,Ptpn2,Sqstm1,none
Tbc1d10b_Slamf9,Tbc1d10b,Slamf9,none
Cul2_Gclm,Cul2,Gclm,none
Rpl26_H3f3b,Rpl26,H3f3b,up
Atxn7l3_Creg1,Atxn7l3,Creg1,none
Srsf10_Pilra,Srsf10,Pilra,up
Atp6v0e_Clec4e,Atp6v0e,Clec4e,up
Cop1_Reep3,Cop1,Reep3,none
Smg5_Slfn1,Smg5,Slfn1,none
Med25_Vav3,Med25,Vav3,none
Nckap1l_Pilra,Nckap1l,Pilra,down
Pi4kb_Selplg,Pi4kb,Selplg,none
Rps19_Cxcl10,Rps19,Cxcl10,none
Ube4b_Folr2,Ube4b,Folr2,up
Cul1_Neat1,Cul1,Neat1,none
Msto1_Bnip3,Msto1,Bnip3,down
Tirap_C1qb,Tirap,C1qb,none
Pias1_Gbp3,Pias1,Gbp3,none
Actr2_4930539J05Rik,Actr2,4930539J05Rik,none
Hdac3_Ctsl,Hdac3,Ctsl,up
Ndc80_Bnip3,Ndc80,Bnip3,none
Tirap_Serp1,Tirap,Serp1,down
Sptlc1_Pou3f1,Sptlc1,Pou3f1,none
Actr6_Ecpas,Actr6,Ecpas,none
Rps19_Taldo1,Rps19,Taldo1,down
Ddb1_Ddx10,Ddb1,Ddx10,none
Gtf2h1_Rabac1,Gtf2h1,Rabac1,up
Slc33a1_Pdia3,Slc33a1,Pdia3,up
Tubg1_Ccl7,Tubg1,Ccl7,none
Sbno2_Csf3r,Sbno2,Csf3r,up
Pias1_Dusp5,Pias1,Dusp5,down
Ing3_Lrmda,Ing3,Lrmda,none
Arih1_Cxcl3,Arih1,Cxcl3,none
Ylpm1_Ifit3b,Ylpm1,Ifit3b,down
Nelfb_Emp3,Nelfb,Emp3,down
Myd88_Osbpl8,Myd88,Osbpl8,up
Spout1_Il15,Spout1,Il15,up
Tpr_Resf1,Tpr,Resf1,up
Gins3_Nudt9,Gins3,Nudt9,none
Polr1f_Rrn3,Polr1f,Rrn3,none
Nop16_Cd44,Nop16,Cd44,up
Mtor_Abca1,Mtor,Abca1,up
Adnp_Morrbid,Adnp,Morrbid,up
Stk11_Ctla2b,Stk11,Ctla2b,up
Prpf19_Ahnak,Prpf19,Ahnak,up
Cpsf4_H2-Q7,Cpsf4,H2-Q7,none
Rbm15_Gbp5,Rbm15,Gbp5,none
Nop16_Itgam,Nop16,Itgam,none
Tpr_Tram1,Tpr,Tram1,none
Ddb1_Pcdh7,Ddb1,Pcdh7,up
Cdc42_Cd36,Cdc42,Cd36,up
Igbp1_Sqstm1,Igbp1,Sqstm1,up
Abi1_Dbr1,Abi1,Dbr1,none
Ctdspl2_Igf1,Ctdspl2,Igf1,down
Trappc8_Sec24a,Trappc8,Sec24a,up
Clp1_Lipa,Clp1,Lipa,up
Hdac3_Selenow,Hdac3,Selenow,down
Pfdn2_Fpr2,Pfdn2,Fpr2,none
Rab7_Ahnak,Rab7,Ahnak,none
Emc7_Hilpda,Emc7,Hilpda,down
Cop1_Eif5a,Cop1,Eif5a,down
Rps26_Dnmt3l,Rps26,Dnmt3l,none
Lamtor2_Lgals3,Lamtor2,Lgals3,up
Rbm15_Pf4,Rbm15,Pf4,none
Ctcf_Ntn1,Ctcf,Ntn1,up
Ppp6c_Prdx5,Ppp6c,Prdx5,down
Actl6a_Trem2,Actl6a,Trem2,up
Qars_Lysmd2,Qars,Lysmd2,none
Trappc1_Pck2,Trappc1,Pck2,up
Nfkbiz_Lrrc25,Nfkbiz,Lrrc25,down
Srcap_Glrx,Srcap,Glrx,down
Ash2l_Fndc3b,Ash2l,Fndc3b,none
Myc_Plaur,Myc,Plaur,none
Sec63_Coro2a,Sec63,Coro2a,none
Irf8_Pf4,Irf8,Pf4,down
Ss18_P4hb,Ss18,P4hb,none
Trappc1_Pcdh7,Trappc1,Pcdh7,none
Prpf40a_Lgals3,Prpf40a,Lgals3,up
Gins3_Rabac1,Gins3,Rabac1,none
Gins3_Gbf1,Gins3,Gbf1,none
Prpf40a_Pf4,Prpf40a,Pf4,none
Wnk1_Vcan,Wnk1,Vcan,up
Urm1_Ckb,Urm1,Ckb,down
Tpt1_Acsl4,Tpt1,Acsl4,none
Ube2h_Chchd10,Ube2h,Chchd10,none
Ppp2r3c_Pilrb2,Ppp2r3c,Pilrb2,up
Pias1_Irf2bp2,Pias1,Irf2bp2,down
Actr6_C3,Actr6,C3,down
Usp7_Ccl2,Usp7,Ccl2,down
Jtb_Pck2,Jtb,Pck2,up
Vps72_Cd69,Vps72,Cd69,up
Uvrag_Mmp12,Uvrag,Mmp12,up
Mcm4_Polr2g,Mcm4,Polr2g,up
Hdac3_Akr1a1,Hdac3,Akr1a1,up
Jtb_Ctsl,Jtb,Ctsl,none
Cdc123_Pmp22,Cdc123,Pmp22,none
Mtor_Lgals1,Mtor,Lgals1,down
Txnl4a_S100a6,Txnl4a,S100a6,up
Spop_Serpinb6b,Spop,Serpinb6b,up
Tbk1_Mt2,Tbk1,Mt2,up
Dusp1_Procr,Dusp1,Procr,up
Mta2_Lgals3,Mta2,Lgals3,none
Meaf6_Lgals3,Meaf6,Lgals3,none
Chmp3_Fcgr2b,Chmp3,Fcgr2b,down
Atg9a_Akr1a1,Atg9a,Akr1a1,up
Pten_Prkcb,Pten,Prkcb,down
Ppp2r3c_Cotl1,Ppp2r3c,Cotl1,none
Tirap_Saa3,Tirap,Saa3,down
Bloc1s1_Myo1e,Bloc1s1,Myo1e,none
Cwc15_Lgals3,Cwc15,Lgals3,up
Wdr75_Uchl1,Wdr75,Uchl1,down
Phb2_Cxcl2,Phb2,Cxcl2,none
Dohh_Il2rg,Dohh,Il2rg,none
Brd2_Card11,Brd2,Card11,none
Atp6v1b2_Lipa,Atp6v1b2,Lipa,up
Spop_Cmpk2,Spop,Cmpk2,none
Spc24_Fgl2,Spc24,Fgl2,none
Leng1_Hspb1,Leng1,Hspb1,none
Cop1_Evi5,Cop1,Evi5,none
Ppp2r2a_Psma6,Ppp2r2a,Psma6,none
Ddx41_Cmpk2,Ddx41,Cmpk2,up
Gins4_Npy,Gins4,Npy,none
Cct4_Mmp9,Cct4,Mmp9,up
Dusp1_Lima1,Dusp1,Lima1,none
Med29_Stmn1,Med29,Stmn1,none
Pik3c3_Snx5,Pik3c3,Snx5,none
E4f1_Rel,E4f1,Rel,up
Trem2_Haghl,Trem2,Haghl,none
Mnt_Acod1,Mnt,Acod1,none
Tlr4_Larp7,Tlr4,Larp7,none
Yeats4_Msrb1,Yeats4,Msrb1,down
Nop16_Mier3,Nop16,Mier3,none
Slc33a1_Fcgr2b,Slc33a1,Fcgr2b,none
Xpo1_Slc48a1,Xpo1,Slc48a1,down
Elavl1_Snhg3,Elavl1,Snhg3,none
Pfn1_Socs3,Pfn1,Socs3,none
Sec63_Blvrb,Sec63,Blvrb,none
Ippk_Fabp4,Ippk,Fabp4,none
Dido1_Selenow,Dido1,Selenow,none
Rbm15_Naglu,Rbm15,Naglu,up
Runx1_Mmp14,Runx1,Mmp14,down
Eny2_Reps1,Eny2,Reps1,none
Ptpn2_Upp1,Ptpn2,Upp1,up
Tyk2_Alms1,Tyk2,Alms1,none
Psmd13_Trem2,Psmd13,Trem2,none
Slc7a6os_Plaur,Slc7a6os,Plaur,up
Mta2_S100a10,Mta2,S100a10,up
Tardbp_C3,Tardbp,C3,down
Copz1_Rsad2,Copz1,Rsad2,none
Mphosph10_Aif1,Mphosph10,Aif1,none
Ccdc22_Rnf128,Ccdc22,Rnf128,none
Rbck1_H2aj,Rbck1,H2aj,none
Ints9_Prdx5,Ints9,Prdx5,none
Strap_Ckb,Strap,Ckb,down
Ddx41_Pilrb2,Ddx41,Pilrb2,none
Nkap_Asb11,Nkap,Asb11,none
Tut1_Zbtb34,Tut1,Zbtb34,none
Ddb1_Acod1,Ddb1,Acod1,down
Srsf10_Nlrp10,Srsf10,Nlrp10,none
Rbm14_Btg1,Rbm14,Btg1,up
Cog5_Cd69,Cog5,Cd69,none
Psmg4_Cxcl2,Psmg4,Cxcl2,up
